ix;iy;n_muestras;area_m2;densidad;centroid_lat;centroid_lon;minx;miny;maxx;maxy
12,000000;101,000000;3,000000;10000,000000;0,000300;6,171394;-75,639044;429248,364560;682143,270389;429348,364560;682243,270389
12,000000;102,000000;4,000000;10000,000000;0,000400;6,172298;-75,639045;429248,364560;682243,270389;429348,364560;682343,270389
12,000000;220,000000;1,000000;10000,000000;0,000100;6,279037;-75,639174;429248,364560;694043,270389;429348,364560;694143,270389
12,000000;221,000000;6,000000;10000,000000;0,000600;6,279942;-75,639175;429248,364560;694143,270389;429348,364560;694243,270389
13,000000;16,000000;1,000000;10000,000000;0,000100;6,094506;-75,638048;429348,364560;673643,270389;429448,364560;673743,270389
13,000000;25,000000;1,000000;10000,000000;0,000100;6,102648;-75,638058;429348,364560;674543,270389;429448,364560;674643,270389
13,000000;80,000000;2,000000;10000,000000;0,000200;6,152399;-75,638117;429348,364560;680043,270389;429448,364560;680143,270389
13,000000;82,000000;4,000000;10000,000000;0,000400;6,154208;-75,638119;429348,364560;680243,270389;429448,364560;680343,270389
13,000000;83,000000;1,000000;10000,000000;0,000100;6,155113;-75,638120;429348,364560;680343,270389;429448,364560;680443,270389
13,000000;101,000000;8,000000;10000,000000;0,000800;6,171395;-75,638140;429348,364560;682143,270389;429448,364560;682243,270389
13,000000;102,000000;2,000000;10000,000000;0,000200;6,172300;-75,638141;429348,364560;682243,270389;429448,364560;682343,270389
13,000000;103,000000;1,000000;10000,000000;0,000100;6,173204;-75,638142;429348,364560;682343,270389;429448,364560;682443,270389
14,000000;2,000000;1,000000;10000,000000;0,000100;6,081843;-75,637130;429448,364560;672243,270389;429548,364560;672343,270389
14,000000;11,000000;2,000000;10000,000000;0,000200;6,089985;-75,637139;429448,364560;673143,270389;429548,364560;673243,270389
14,000000;23,000000;3,000000;10000,000000;0,000300;6,100840;-75,637152;429448,364560;674343,270389;429548,364560;674443,270389
14,000000;24,000000;1,000000;10000,000000;0,000100;6,101744;-75,637153;429448,364560;674443,270389;429548,364560;674543,270389
