id_barrio;barrio;origen
25550;NUEVO FATIMA;cobro
25524;PALERMO;cobro
25624;BELEN;cobro
25543;COLSEGUROS;cobro
25643;LA ARBOLEDA;cobro
25583;LA RAMBLA;cobro
25548;MILAN;cobro
25535;MINITAS;cobro
25676;SAN RAFAEL;cobro
25537;VIVEROS;cobro
25545;ARANJUEZ;cobro
25620;CAMILO TORRES;cobro
25506;FATIMA;cobro
25614;JOSE RESTREPO;cobro
25539;LA TOSCANA;cobro
25554;LAS COLINAS;cobro
25541;ALTA SUIZA;cobro
25502;LA SULTANA;cobro
25525;MALHABAR;cobro
25569;CERVANTES;cobro
25531;LA CUMBRE;cobro
25536;BETANIA (FATIMA);cobro
25557;BETANIA;cobro
25581;BAJO CERVANTES;cobro
25607;VERSALLES;cobro
25698;FANEON;cobro
25824;URBANIZACION LA RIVIERA;cobro
25941;EL MIRADOR;cobro
25712;JUAN BOSCO;cobro
25967;CONJ PORTAL DE OVIEDO (VIA GIRON);cobro
25782;ALAMEDA;cobro
25767;CHICO REAL II;cobro
25780;LAURELES;cobro
25887;AFRICA;cobro
25786;VILLA SOLAR;cobro
25791;QUINTAS DE SANTA ANA;cobro
25939;VILLA SAN PEDRO;cobro
26520;ALMENDROS;cobro
46450;CONDOMINIO SAN MARCOS;cobro
46538;FRAISAL;cobro
46541;BUCAREST;cobro
26590;VISTA ALEGRE;cobro
48639;BUCAREST;cobro
26699;GUALANDAYES;cobro
26596;LOS DOLORES;cobro
26514;RAMON ARCILA;cobro
26510;HOJARASCA;cobro
26587;LOS SERNAS;cobro
12217;SANTA MARIA DE LOS ANGELES;cobro
48644;ANCON SUR;cobro
48651;LOS ALCAZARES;cobro
26453;AIDAS DEL PRADO;cobro
26324;ALFONSO LOPEZ;cobro
26436;ALTO LA PLAYITA;cobro
26328;BELENCITO;cobro
26406;BENALCAZAR;cobro
26329;BOSTON;cobro
26441;CENTRAL MAYORISTA;cobro
26478;COMFAMA;cobro
26455;FLORES Y COLORES;cobro
26591;LA CEJA;cobro
26344;MEDELLIN;cobro
26536;NARAPO;cobro
26346;NIQUIA;cobro
26547;PALOMA;cobro
26391;PORTON DEL LIMONAR;cobro
26439;PRADOS DE MARIA;cobro
26447;PRIMAVERAL;cobro
26562;PUMBAL;cobro
26352;ROBLEDO;cobro
26360;SAN JUAN;cobro
26375;SAN PEDRO DE LOS MILAGROS;cobro
26602;SANTA FE-GUAYABAL;cobro
26435;SANTUARIO;cobro
26366;TORRES DE SAMARIA;cobro
26368;URB COMPARTIR;cobro
26758;OASIS 2;cobro
26460;ESPERANZA-1;cobro
26415;CRISTO REY-1;cobro
26565;VILLA SOL;cobro
26487;TANQUES;cobro
26512;VALLE SOL;cobro
45640;7 DE AGOSTO D/DAS;cobro
46507;NUEVO BOSQUE;cobro
35088;LA PRIMAVERA;cobro
45626;NOGAL DE LOS ALPES;cobro
45674;EL PORVENIR D/DAS;cobro
45681;PORTAL DEL SOL D/DAS;cobro
