id_barrio;barrio;id_ruta_cobro;ruta_cobro;id_centroope
1086;"LA ESPERANZA";21;12;2
11883;"ALFERES REAL";21;12;2
1030;BOYACA;21;12;2
1036;CALDAS;21;12;2
1064;FARALLONES;21;12;2
1091;"LA PLAYA";21;12;2
1096;"LAS VEGAS";21;12;2
1105;MAYAPAN;21;12;2
1032;"BUENOS AIRES";21;12;2
1298;LOURDES;21;12;2
1106;MELENDEZ;21;12;2
1116;NAPOLES;21;12;2
1138;"PRADO SUR";21;12;2
46531;BOCHALEMA;21;12;2
1140;PRIMAVERA;21;12;2
1148;"SAN CARLOS";21;12;2
1195;"CIUDAD  JARDIN";21;12;2
11986;"CIUDAD JARDIN";21;12;2
1035;"CIUDAD MODELO";21;12;2
1081;JARDIN;21;12;2
1050;"COLINAS DEL SUR";21;12;2
1207;MONTANARES;23;13;2
1257;"PORTAL DE  COMFANDI";23;13;2
1102;MANZANARES;23;13;2
1279;"PACARA 1";23;13;2
1309;ARBOLEDA;23;13;2
1066;"FLORA INDUSTRIAL";23;13;2
1090;"LA MERCED";23;13;2
1192;VIPASA;23;13;2
1139;"PRADOS DEL NORTE";23;13;2
1278;"LA ALIANZA";23;13;2
1269;ALCALA;23;13;2
1313;ALIANZA;23;13;2
1317;BERLIN;23;13;2
1029;BOLIVARIANO;23;13;2
1312;"BUENO MADRID";23;13;2
1037;CALIMA;23;13;2
1056;DELICIAS;23;13;2
1077;GUAYACANES;23;13;2
1085;"LA ESMERALDA";23;13;2
1119;"OLAYA HERRERA";23;13;2
1135;POPULAR;23;13;2
1137;PORVENIR;23;13;2
1146;RIVERA;23;13;2
1063;"EVARISTO G.";23;13;2
1164;SANTANDER;23;13;2
1288;"CIUDAD DEL CAMPO";23;13;2
11327;"POBLADO CAMPESTRE";23;13;2
48771;"ARBOLEDA CAMPESTRE";23;13;2
1024;BARLOVENTO;26;4;2
1253;"PORTAL DE SAJONIA";26;4;2
11924;"UR SAN JUAQUIN";26;4;2
1302;"BRISAS DEL LIMONAR";26;4;2
1034;"CIUDADELA COMFANDI";26;4;2
1083;"JOSE HOLGUIN G.";26;4;2
11335;CALICANTO;26;4;2
1193;"VALLE DEL LILI";26;4;2
1080;INGENIO;26;4;2
1303;"PRADOS DEL LIMONAR";26;4;2
11889;"SAN JOAQUIN";26;4;2
1246;MARACAIBO;26;4;2
1187;"VILLA DEL SUR";26;4;2
11983;"LAS VEGAS DE COMFANDI";26;4;2
1320;"CIUDAD REAL";26;4;2
1248;SAUCES;26;4;2
1033;"CIUDAD 2000";26;4;2
1079;INDEPENDENCIA;26;4;2
1307;MADROÑAL;26;4;2
1041;CANEY;26;4;2
1308;"HOLGUIN GARCES";26;4;2
1261;"LLERAS RESTREPO";32;8;2
1252;"ULPIANO LLOREDA";32;8;2
1104;MARROQUIN;32;8;2
1108;MOJICA;32;8;2
1158;"SAN MARCOS";32;8;2
46179;CALIMIO;32;8;2
1281;"ALIRIO MORA BELTRAN";32;8;2
11885;"LAUREANO GOMEZ";32;8;2
11331;"LLERAS CAMARGO";32;8;2
1123;ORQUIDEAS;32;8;2
1039;CALIPSO;32;8;2
1053;COMUNEROS;32;8;2
1287;POBLADO;32;8;2
1301;ROBLES;32;8;2
11972;"YIRA CASTRO";32;8;2
1270;"BELLO HORIZONTE";32;8;2
1255;"12 DE OCTUBRE";32;8;2
1134;PONDAJE;32;8;2
1145;"RICARDO BALCAZAR";32;8;2
1227;COMPARTIR;32;8;2
1113;"NUEVA BASE";32;8;2
1232;BARTOLOME;32;8;2
11888;"BONILLA ARAGON";32;8;2
1324;CALIBELLA;32;8;2
11982;"CALIMIO DECEPAZ";32;8;2
1044;CEIBAS;32;8;2
1289;"CIUDADELA DEL RIO";32;8;2
1321;DECEPAZ;32;8;2
1291;"LOS CEREZOS";32;8;2
1133;PINOS;32;8;2
1300;"REMANSOS DE COM.";32;8;2
1290;TALANGA;32;8;2
1292;"VALLE GRANDE";32;8;2
1177;TREBOL;32;8;2
1189;"VILLA DEL LAGO";32;8;2
1026;"LA BASE";32;8;2
1008;"7 DE AGOSTO";32;8;2
1007;"20 DE JULIO";36;2;2
1150;"SANTA  MONICA POPULAR";36;2;2
1258;"PRADOS DE  COMFANDI";36;2;2
1234;"EDUARDO SANTOS";36;2;2
1061;"EL RECUERDO";36;2;2
1219;"JAM-BELLO HORIZONTE";36;2;2
1228;CONQUISTADORES;36;2;2
1199;"SAN PEDRO";36;2;2
1065;"FENALCO KENEDY";36;2;2
1153;"SAN BENITO";36;2;2
1161;"SANTA CLARA";36;2;2
1191;VILLANUEVA;36;2;2
1097;"LEON XIII";36;2;2
1012;AGUABLANCA;36;2;2
1069;FORTALEZA;36;2;2
1011;"LAS ACACIAS";36;2;2
1124;"PRADOS DE ORIENTE";36;2;2
1020;ASTURIAS;36;2;2
1167;SINDICAL;36;2;2
1058;DORADO;36;2;2
1122;OLIMPICO;36;2;2
1023;BARBERENA;36;2;2
1147;RODEO;36;2;2
1051;COLON;36;2;2
1052;COLSEGUROS;36;2;2
1089;"LA LIBERTAD";36;2;2
1114;"NUEVA FLORESTA";36;2;2
1129;PARAISO;36;2;2
1162;"SANTA ELENA";36;2;2
1055;CORDOBA;37;9;2
11887;"CORDOBA .";37;9;2
11337;"CORDOBA RESERVADO";37;9;2
1103;"MARIANO RAMOS";37;9;2
1179;UNION;37;9;2
1245;"UNION DE VIVIENDA POPULAR";37;9;2
1109;MORICHAL;37;9;2
1260;VALLADO;37;9;2
1010;"ANTONIO NARINO";37;9;2
1143;"REPUBLICA DE ISRAEL";37;9;2
1251;"EL DIAMANTE";37;9;2
12186;"ALTOS DE LA CIUDADELA";39;"RUTA  7 CRISTO REY";3
26357;"SAN BERNARDO";39;"RUTA  7 CRISTO REY";3
12001;"RODEO NORTE";39;"RUTA  7 CRISTO REY";3
26483;"EL BOLO";39;"RUTA  7 CRISTO REY";3
26371;"VALLE SUR";39;"RUTA  7 CRISTO REY";3
26369;"URB ENTRE COLINA";39;"RUTA  7 CRISTO REY";3
11999;"BELEN RINCON";39;"RUTA  7 CRISTO REY";3
26335;GUAYABAL;39;"RUTA  7 CRISTO REY";3
12010;"LA COLINITA";39;"RUTA  7 CRISTO REY";3
12328;"RODEO SUR";39;"RUTA  7 CRISTO REY";3
12281;"GUAYABAL (SAN RAFAEL)";39;"RUTA  7 CRISTO REY";3
12015;ANTIOQUIA;39;"RUTA  7 CRISTO REY";3
26601;"LA COLINA";39;"RUTA  7 CRISTO REY";3
12013;TRINIDAD;39;"RUTA  7 CRISTO REY";3
12189;"URB. PARQUES DE STA.FE";39;"RUTA  7 CRISTO REY";3
12008;GUAYABAL;39;"RUTA  7 CRISTO REY";3
26471;"ENTRE COLINAS";39;"RUTA  7 CRISTO REY";3
12072;CAMPOVALDEZ;39;"RUTA  7 CRISTO REY";3
12007;"CRISTO REY";39;"RUTA  7 CRISTO REY";3
