id_barrio;barrio;origen
46083;FULLIMP;cobro_no_logistica
46228;SIN ASIGNAR PEREIRA;cobro_no_logistica
25556;CLIENTE EMPRESA;cobro_no_logistica
46229;SIN ASIGNAR MANIZALES;cobro_no_logistica
12638;EL CAMPING;cobro_no_logistica
12634;JESUS NAZARENO;cobro_no_logistica
12611;LOS SAUSES;cobro_no_logistica
12600;MIRADOR DEL LAGO;cobro_no_logistica
12661;URB. EL PINAR;cobro_no_logistica
12603;LA MOTA;cobro_no_logistica
25994;LISCANO 1;cobro_no_logistica
25847;EL FONCI;cobro_no_logistica
25741;VILLAESPERANZA;cobro_no_logistica
25978;ESPERANZA III;cobro_no_logistica
25982;JUAN XXIII;cobro_no_logistica
25938;LOS ANGELES;cobro_no_logistica
25959;RETIRO CHIQUITO;cobro_no_logistica
25946;CONVIVIR;cobro_no_logistica
12219;LAURELES TERRANOVA;cobro_no_logistica
12792;ALPES LUCERO;cobro_no_logistica
13572;CENTRO BELEN;cobro_no_logistica
46125;EL GUABIO;cobro_no_logistica
13555;MONTEBELLO;cobro_no_logistica
46139;VILLAVICENCIO;cobro_no_logistica
13427;AGUAS CLARAS ENGATIVA;cobro_no_logistica
13556;CENTRO LA ESTANZUELA;cobro_no_logistica
12782;COMPENSAR;cobro_no_logistica
13580;ALTAMIRA;cobro_no_logistica
46155;BOSQUES DE SAN JORGE SUBA;cobro_no_logistica
13554;SOTAVENTO;cobro_no_logistica
46119;SAN AGUSTIN;cobro_no_logistica
48620;AURORA;cobro_no_logistica
12810;BELLO HORIZONTE;cobro_no_logistica
13593;CORDOBA;cobro_no_logistica
46147;HORACIO ORJUELA;cobro_no_logistica
13574;LAS NIEVES;cobro_no_logistica
13229;EL REDENTOR;cobro_no_logistica
13257;REDENTOR;cobro_no_logistica
48674;QUINTAS DEL SUR;cobro_no_logistica
46261;PANORAMA;cobro_no_logistica
46293;PARQUE DE LA MERCED;cobro_no_logistica
46297;VILLA DE CASA MIEL;cobro_no_logistica
46294;PAZUELA DE LA MERCED;cobro_no_logistica
35134;PRADO VERDE;cobro_no_logistica
35011;C.C ALCIDEZ AREVALO;cobro_no_logistica
46510;URBANIZACIÓN 1 DE FEBRERO;cobro_no_logistica
35178;VILLA CLARA;cobro_no_logistica
34976;4 FEBRERO CENTRO;cobro_no_logistica
35012;C.C. LOS PUNTOS;cobro_no_logistica
35087;LA LIBERTAD;cobro_no_logistica
46627;ABEJORRAL;cobro_no_logistica
46564;ÁBREGO;cobro_no_logistica
46609;ABRIAQUÍ;cobro_no_logistica
47300;ACACIAS;cobro_no_logistica
47021;ACANDÍ;cobro_no_logistica
47231;ACEVEDO;cobro_no_logistica
46565;ACHÍ;cobro_no_logistica
47203;AGRADO;cobro_no_logistica
47081;AGUA DE DIOS;cobro_no_logistica
47005;AGUACHICA;cobro_no_logistica
47516;AGUADA;cobro_no_logistica
46928;AGUAZUL;cobro_no_logistica
46999;AGUSTÍN CODAZZI;cobro_no_logistica
47211;AIPE;cobro_no_logistica
47092;ALBÁN;cobro_no_logistica
46578;ALBÁN;cobro_no_logistica
46912;ALBANIA;cobro_no_logistica
47240;ALBANIA;cobro_no_logistica
47517;ALBANIA;cobro_no_logistica
46596;ALCALÁ;cobro_no_logistica
47363;ALDANA;cobro_no_logistica
46628;ALEJANDRÍA;cobro_no_logistica
47261;ALGARROBO;cobro_no_logistica
47212;ALGECIRAS;cobro_no_logistica
46975;ALMAGUER;cobro_no_logistica
46836;ALMEIDA;cobro_no_logistica
47592;ALPUJARRA;cobro_no_logistica
47204;ALTAMIRA;cobro_no_logistica
46597;ALTO BAUDO;cobro_no_logistica
46602;ALTOS DEL ROSARIO;cobro_no_logistica
47581;ALVARADO;cobro_no_logistica
46582;AMALFI;cobro_no_logistica
47561;AMBALEMA;cobro_no_logistica
47170;ANAPOIMA;cobro_no_logistica
47323;ANCUYÁ;cobro_no_logistica
47607;ANDALUCÍA;cobro_no_logistica
46648;ANDES;cobro_no_logistica
47620;ANGELÓPOLIS;cobro_no_logistica
46592;ANGOSTURA;cobro_no_logistica
47171;ANOLAIMA;cobro_no_logistica
46583;ANORÍ;cobro_no_logistica
46895;ANSERMA;cobro_no_logistica
47621;ANSERMANUEVO;cobro_no_logistica
46610;ANZA;cobro_no_logistica
47582;ANZOÁTEGUI;cobro_no_logistica
46670;APARTADÓ;cobro_no_logistica
47443;APÍA;cobro_no_logistica
47172;APULO;cobro_no_logistica
46857;AQUITANIA;cobro_no_logistica
47262;ARACATACA;cobro_no_logistica
46905;ARANZAZU;cobro_no_logistica
47481;ARATOCA;cobro_no_logistica
46684;ARAUCA;cobro_no_logistica
46685;ARAUQUITA;cobro_no_logistica
47160;ARBELÁEZ;cobro_no_logistica
47347;ARBOLEDA;cobro_no_logistica
47377;ARBOLEDAS;cobro_no_logistica
46671;ARBOLETES;cobro_no_logistica
46844;ARCABUCO;cobro_no_logistica
46604;ARENAL;cobro_no_logistica
46629;ARGELIA;cobro_no_logistica
46976;ARGELIA;cobro_no_logistica
47622;ARGELIA;cobro_no_logistica
47255;ARIGUANÍ;cobro_no_logistica
46611;ARJONA;cobro_no_logistica
47615;ARMENIA MANTEQUILLA;cobro_no_logistica
47343;ARMERO GUAYABAL;cobro_no_logistica
46630;ARROYOHONDO;cobro_no_logistica
46995;ASTREA;cobro_no_logistica
47572;ATACO;cobro_no_logistica
47013;ATRATO;cobro_no_logistica
47061;AYAPEL;cobro_no_logistica
47014;BAGADÓ;cobro_no_logistica
47026;BAHÍA SOLANO;cobro_no_logistica
47030;BAJO BAUDÓ;cobro_no_logistica
46977;BALBOA;cobro_no_logistica
47444;BALBOA;cobro_no_logistica
46705;BARANOA;cobro_no_logistica
47213;BARAYA;cobro_no_logistica
47336;BARBACOAS;cobro_no_logistica
47518;BARBOSA;cobro_no_logistica
47482;BARICHARA;cobro_no_logistica
46974;BARRANCA DE UPÍA;cobro_no_logistica
47498;BARRANCABERMEJA;cobro_no_logistica
47246;BARRANCAS;cobro_no_logistica
46646;BARRANCO DE LOBA;cobro_no_logistica
46913;BARRANCO MINAS;cobro_no_logistica
46988;BECERRIL;cobro_no_logistica
46896;BELALCÁZAR;cobro_no_logistica
46870;BELÉN;cobro_no_logistica
47033;BELÉN;cobro_no_logistica
47022;BELÉN DE BAJIRA;cobro_no_logistica
46718;BELÉN DE LOS ANDAQUÍES;cobro_no_logistica
47445;BELÉN DE UMBRÍA;cobro_no_logistica
46593;BELMIRA;cobro_no_logistica
47112;BELTRÁN;cobro_no_logistica
46789;BERBEO;cobro_no_logistica
46650;BETANIA;cobro_no_logistica
46879;BETÉITIVA;cobro_no_logistica
46651;BETULIA;cobro_no_logistica
47499;BETULIA;cobro_no_logistica
47113;BITUIMA;cobro_no_logistica
46811;BOAVITA;cobro_no_logistica
47410;BOCHALEMA;cobro_no_logistica
47148;BOJACÁ;cobro_no_logistica
47015;BOJAYA;cobro_no_logistica
46978;BOLÍVAR;cobro_no_logistica
47519;BOLÍVAR;cobro_no_logistica
47623;BOLÍVAR;cobro_no_logistica
46996;BOSCONIA;cobro_no_logistica
46795;BOYACÁ;cobro_no_logistica
46594;BRICEÑO;cobro_no_logistica
46820;BRICEÑO;cobro_no_logistica
47384;BUCARASICA;cobro_no_logistica
46702;BUENA VISTA;cobro_no_logistica
47062;BUENAVISTA;cobro_no_logistica
47431;BUENAVISTA;cobro_no_logistica
47548;BUENAVISTA;cobro_no_logistica
46955;BUENOS AIRES;cobro_no_logistica
47349;BUESACO;cobro_no_logistica
47609;BUGALAGRANDE;cobro_no_logistica
46612;BURITICÁ;cobro_no_logistica
46871;BUSBANZÁ;cobro_no_logistica
47161;CABRERA;cobro_no_logistica
47483;CABRERA;cobro_no_logistica
47311;CABUYARO;cobro_no_logistica
47191;CACAHUAL;cobro_no_logistica
46570;CÁCERES;cobro_no_logistica
47173;CACHIPAY;cobro_no_logistica
47189;CÁCHIRA;cobro_no_logistica
47404;CÁCOTA;cobro_no_logistica
46652;CAICEDO;cobro_no_logistica
47634;CAICEDONIA;cobro_no_logistica
47557;CAIMITO;cobro_no_logistica
47583;CAJAMARCA;cobro_no_logistica
46947;CAJIBÍO;cobro_no_logistica
46682;CALAMAR;cobro_no_logistica
47199;CALAMAR;cobro_no_logistica
47281;CALARCÁ;cobro_no_logistica
46822;CALDAS;cobro_no_logistica
46967;CALDONO;cobro_no_logistica
47505;CALIFORNIA;cobro_no_logistica
46595;CAMPAMENTO;cobro_no_logistica
46698;CAMPO DE LA CRUZ;cobro_no_logistica
47214;CAMPOALEGRE;cobro_no_logistica
46790;CAMPOHERMOSO;cobro_no_logistica
47052;CANALETE;cobro_no_logistica
